NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00169413290,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,1991311,SBD,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",direct,1991311,201801,202510,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169413297,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,1991311,SBD,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",direct,1991311,201801,202510,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169418103,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2619154,SBD,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",direct,2619154,202211,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169418113,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2619154,SBD,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",direct,2619154,202211,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169418190,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2619154,SBD,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",direct,2619154,202211,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169418197,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2619154,SBD,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",direct,2619154,202211,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169430301,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200654,SBD,semaglutide 3 MG Oral Tablet [Rybelsus],direct,2200654,201910,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169430313,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200654,SBD,semaglutide 3 MG Oral Tablet [Rybelsus],direct,2200654,201910,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169430330,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200654,SBD,semaglutide 3 MG Oral Tablet [Rybelsus],direct,2200654,202106,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169430390,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200654,SBD,semaglutide 3 MG Oral Tablet [Rybelsus],direct,2200654,201910,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
